from,to,n
"(0, 2, 0)","(3, 1, 2)",9.452083728294646e-10
"(3, 1, 2)","(0, 2, 0)",9.452083728294646e-10
"(0, 0, 0)","(1, 2, 2)",1.9098030827133372e-10
"(1, 2, 2)","(0, 0, 0)",1.9098030827133372e-10
"(0, 1, 0)","(1, 2, 2)",1.9547076123664773e-10
"(1, 2, 2)","(0, 1, 0)",1.9547076123664773e-10
"(0, 2, 0)","(1, 2, 2)",2.1004630507321442e-10
"(1, 2, 2)","(0, 2, 0)",2.1004630507321442e-10
"(0, 0, 0)","(2, 2, 2)",1.9098030827133372e-10
"(2, 2, 2)","(0, 0, 0)",1.9098030827133372e-10
"(0, 1, 0)","(2, 2, 2)",1.954707612366477e-10
"(2, 2, 2)","(0, 1, 0)",1.954707612366477e-10
"(0, 2, 0)","(2, 2, 2)",2.1004630507321442e-10
"(2, 2, 2)","(0, 2, 0)",2.1004630507321442e-10
"(0, 0, 0)","(3, 2, 2)",1.9098030827133374e-10
"(3, 2, 2)","(0, 0, 0)",1.9098030827133374e-10
"(0, 1, 0)","(3, 2, 2)",1.954707612366477e-10
"(3, 2, 2)","(0, 1, 0)",1.954707612366477e-10
"(0, 2, 0)","(3, 2, 2)",2.1004630507321442e-10
"(3, 2, 2)","(0, 2, 0)",2.1004630507321442e-10
"(0, 0, 1)","(1, 0, 0)",8.033127680519764e-10
"(1, 0, 0)","(0, 0, 1)",8.033127680519764e-10
"(0, 1, 1)","(1, 0, 0)",8.236245904852117e-10
"(1, 0, 0)","(0, 1, 1)",8.236245904852117e-10
"(0, 2, 1)","(1, 0, 0)",8.883079205935268e-10
"(1, 0, 0)","(0, 2, 1)",8.883079205935268e-10
"(0, 0, 1)","(2, 0, 0)",7.632364296233319e-10
"(2, 0, 0)","(0, 0, 1)",7.632364296233319e-10
"(0, 1, 1)","(2, 0, 0)",7.811932306901572e-10
"(2, 0, 0)","(0, 1, 1)",7.811932306901572e-10
"(0, 2, 1)","(2, 0, 0)",8.394694300976685e-10
"(2, 0, 0)","(0, 2, 1)",8.394694300976685e-10
"(0, 0, 1)","(3, 0, 0)",7.632364296233319e-10
"(3, 0, 0)","(0, 0, 1)",7.632364296233319e-10
"(0, 1, 1)","(3, 0, 0)",7.811932306901572e-10
"(3, 0, 0)","(0, 1, 1)",7.811932306901572e-10
"(0, 2, 1)","(3, 0, 0)",8.394694300976686e-10
"(3, 0, 0)","(0, 2, 1)",8.394694300976686e-10
"(0, 0, 1)","(1, 0, 1)",7.395316980490537e-06
"(1, 0, 1)","(0, 0, 1)",7.395316980490537e-06
"(0, 1, 1)","(1, 0, 1)",7.829792124563907e-06
"(1, 0, 1)","(0, 1, 1)",7.829792124563907e-06
"(0, 2, 1)","(1, 0, 1)",9.011870781685337e-06
"(1, 0, 1)","(0, 2, 1)",9.011870781685337e-06
"(0, 0, 1)","(2, 0, 1)",3.699214528583991e-06
"(2, 0, 1)","(0, 0, 1)",3.699214528583991e-06
"(0, 1, 1)","(2, 0, 1)",3.916504848341887e-06
"(2, 0, 1)","(0, 1, 1)",3.916504848341887e-06
"(0, 2, 1)","(2, 0, 1)",4.50770123930807e-06
"(2, 0, 1)","(0, 2, 1)",4.50770123930807e-06
"(0, 0, 1)","(3, 0, 1)",3.699214528583991e-06
"(3, 0, 1)","(0, 0, 1)",3.699214528583991e-06
"(0, 1, 1)","(3, 0, 1)",3.9165048483418865e-06
"(3, 0, 1)","(0, 1, 1)",3.9165048483418865e-06
"(0, 2, 1)","(3, 0, 1)",4.50770123930807e-06
"(3, 0, 1)","(0, 2, 1)",4.50770123930807e-06
"(0, 0, 1)","(1, 0, 2)",1.5247095317986595e-09
"(1, 0, 2)","(0, 0, 1)",1.5247095317986595e-09
"(0, 1, 1)","(1, 0, 2)",1.5840040722550493e-09
"(1, 0, 2)","(0, 1, 1)",1.5840040722550493e-09
"(0, 2, 1)","(1, 0, 2)",1.7559391537512545e-09
"(1, 0, 2)","(0, 2, 1)",1.7559391537512545e-09
"(0, 0, 1)","(2, 0, 2)",1.1921624103499457e-09
"(2, 0, 2)","(0, 0, 1)",1.1921624103499457e-09
"(0, 1, 1)","(2, 0, 2)",1.2319161531971238e-09
"(2, 0, 2)","(0, 1, 1)",1.2319161531971238e-09
"(0, 2, 1)","(2, 0, 2)",1.3506877670342378e-09
"(2, 0, 2)","(0, 2, 1)",1.3506877670342378e-09
